block_id,split,country,city,top_left_row,top_left_col,top_left_patch_id,top_left_coarse_label,top_right_patch_id,top_right_coarse_label,bottom_left_patch_id,bottom_left_coarse_label,bottom_right_patch_id,bottom_right_coarse_label,n_valid,n_built,all_four_valid,has_built_up,use_for_block_training,is_tiling_anchor,use_for_tiling_eval
Italy_Bari_r000_c000_2x2,train,Italy,Bari,0,0,Italy_Bari_r000_c000_x0_y0_s160,3,Italy_Bari_r000_c001_x160_y0_s160,3,Italy_Bari_r001_c000_x0_y160_s160,2,Italy_Bari_r001_c001_x160_y160_s160,3,4,3,true,true,true,true,true
Italy_Bari_r000_c001_2x2,train,Italy,Bari,0,1,Italy_Bari_r000_c001_x160_y0_s160,3,Italy_Bari_r000_c002_x320_y0_s160,3,Italy_Bari_r001_c001_x160_y160_s160,3,Italy_Bari_r001_c002_x320_y160_s160,3,4,4,true,true,true,false,false
Italy_Bari_r000_c002_2x2,train,Italy,Bari,0,2,Italy_Bari_r000_c002_x320_y0_s160,3,Italy_Bari_r000_c003_x480_y0_s160,3,Italy_Bari_r001_c002_x320_y160_s160,3,Italy_Bari_r001_c003_x480_y160_s160,3,4,4,true,true,true,true,true
Italy_Bari_r000_c003_2x2,train,Italy,Bari,0,3,Italy_Bari_r000_c003_x480_y0_s160,3,Italy_Bari_r000_c004_x640_y0_s160,3,Italy_Bari_r001_c003_x480_y160_s160,3,Italy_Bari_r001_c004_x640_y160_s160,4,4,4,true,true,true,false,false
Italy_Bari_r000_c004_2x2,train,Italy,Bari,0,4,Italy_Bari_r000_c004_x640_y0_s160,3,Italy_Bari_r000_c005_x800_y0_s160,3,Italy_Bari_r001_c004_x640_y160_s160,4,Italy_Bari_r001_c005_x800_y160_s160,4,4,4,true,true,true,true,true
Italy_Bari_r000_c005_2x2,train,Italy,Bari,0,5,Italy_Bari_r000_c005_x800_y0_s160,3,Italy_Bari_r000_c006_x960_y0_s160,3,Italy_Bari_r001_c005_x800_y160_s160,4,Italy_Bari_r001_c006_x960_y160_s160,4,4,4,true,true,true,false,false
Italy_Bari_r000_c006_2x2,train,Italy,Bari,0,6,Italy_Bari_r000_c006_x960_y0_s160,3,Italy_Bari_r000_c007_x1120_y0_s160,3,Italy_Bari_r001_c006_x960_y160_s160,4,Italy_Bari_r001_c007_x1120_y160_s160,4,4,4,true,true,true,true,true
Italy_Bari_r000_c007_2x2,train,Italy,Bari,0,7,Italy_Bari_r000_c007_x1120_y0_s160,3,Italy_Bari_r000_c008_x1280_y0_s160,3,Italy_Bari_r001_c007_x1120_y160_s160,4,Italy_Bari_r001_c008_x1280_y160_s160,4,4,4,true,true,true,false,false
Italy_Bari_r000_c008_2x2,train,Italy,Bari,0,8,Italy_Bari_r000_c008_x1280_y0_s160,3,Italy_Bari_r000_c009_x1440_y0_s160,3,Italy_Bari_r001_c008_x1280_y160_s160,4,Italy_Bari_r001_c009_x1440_y160_s160,4,4,4,true,true,true,true,true
Italy_Bari_r000_c009_2x2,train,Italy,Bari,0,9,Italy_Bari_r000_c009_x1440_y0_s160,3,Italy_Bari_r000_c010_x1600_y0_s160,2,Italy_Bari_r001_c009_x1440_y160_s160,4,Italy_Bari_r001_c010_x1600_y160_s160,3,4,3,true,true,true,false,false
Italy_Bari_r000_c010_2x2,train,Italy,Bari,0,10,Italy_Bari_r000_c010_x1600_y0_s160,2,Italy_Bari_r000_c011_x1760_y0_s160,2,Italy_Bari_r001_c010_x1600_y160_s160,3,Italy_Bari_r001_c011_x1760_y160_s160,3,4,2,true,true,true,true,true
Italy_Bari_r000_c011_2x2,train,Italy,Bari,0,11,Italy_Bari_r000_c011_x1760_y0_s160,2,Italy_Bari_r000_c012_x1920_y0_s160,2,Italy_Bari_r001_c011_x1760_y160_s160,3,Italy_Bari_r001_c012_x1920_y160_s160,2,4,1,true,true,true,false,false
Italy_Bari_r000_c012_2x2,train,Italy,Bari,0,12,Italy_Bari_r000_c012_x1920_y0_s160,2,Italy_Bari_r000_c013_x2080_y0_s160,2,Italy_Bari_r001_c012_x1920_y160_s160,2,Italy_Bari_r001_c013_x2080_y160_s160,2,4,0,true,false,false,true,true
Italy_Bari_r000_c013_2x2,train,Italy,Bari,0,13,Italy_Bari_r000_c013_x2080_y0_s160,2,Italy_Bari_r000_c014_x2175_y0_s160,2,Italy_Bari_r001_c013_x2080_y160_s160,2,Italy_Bari_r001_c014_x2175_y160_s160,2,4,0,true,false,false,false,false
Italy_Bari_r001_c000_2x2,train,Italy,Bari,1,0,Italy_Bari_r001_c000_x0_y160_s160,2,Italy_Bari_r001_c001_x160_y160_s160,3,Italy_Bari_r002_c000_x0_y320_s160,3,Italy_Bari_r002_c001_x160_y320_s160,3,4,3,true,true,true,false,false
Italy_Bari_r001_c001_2x2,train,Italy,Bari,1,1,Italy_Bari_r001_c001_x160_y160_s160,3,Italy_Bari_r001_c002_x320_y160_s160,3,Italy_Bari_r002_c001_x160_y320_s160,3,Italy_Bari_r002_c002_x320_y320_s160,4,4,4,true,true,true,false,false
Italy_Bari_r001_c002_2x2,train,Italy,Bari,1,2,Italy_Bari_r001_c002_x320_y160_s160,3,Italy_Bari_r001_c003_x480_y160_s160,3,Italy_Bari_r002_c002_x320_y320_s160,4,Italy_Bari_r002_c003_x480_y320_s160,4,4,4,true,true,true,false,false
Italy_Bari_r001_c003_2x2,train,Italy,Bari,1,3,Italy_Bari_r001_c003_x480_y160_s160,3,Italy_Bari_r001_c004_x640_y160_s160,4,Italy_Bari_r002_c003_x480_y320_s160,4,Italy_Bari_r002_c004_x640_y320_s160,4,4,4,true,true,true,false,false
Italy_Bari_r001_c004_2x2,train,Italy,Bari,1,4,Italy_Bari_r001_c004_x640_y160_s160,4,Italy_Bari_r001_c005_x800_y160_s160,4,Italy_Bari_r002_c004_x640_y320_s160,4,Italy_Bari_r002_c005_x800_y320_s160,4,4,4,true,true,true,false,false
