city,split,n_tiles,extent_px_w,extent_px_h,elev_p5_m,elev_p50_m,elev_p95_m,relief_p95_p5_m,elev_min_m,elev_max_m,slope_p50_deg,slope_p95_deg,valid_fraction
Italy_Bari,train,105,2431,1167,0.0,46.6,102.4,102.4,-3.9,135.3,1.36,6.67,1.0
Italy_Bologna,train,130,2050,1537,25.4,47.0,214.6,189.1,11.9,360.2,2.86,17.27,1.0
Italy_Brescia,train,361,3127,2987,103.6,208.7,947.5,843.9,88.0,1450.2,5.48,36.67,1.0
Italy_Cagliari,val,117,2172,1377,-0.5,8.3,79.0,79.5,-6.8,189.2,1.11,6.84,1.0
Italy_Catania,train,117,2024,1427,0.0,92.5,420.6,420.6,-5.4,536.4,3.22,11.62,1.0
Italy_Florence,val,160,2566,1647,35.5,82.3,522.5,487.0,27.8,921.6,6.35,22.37,1.0
Italy_Foggia,train,35,1073,797,52.8,67.2,90.7,37.9,47.2,108.1,0.92,5.25,1.0
Italy_Genoa,test,117,2130,1387,0.0,149.2,598.6,598.6,0.0,833.3,17.1,35.01,1.0
Italy_Livorno,train,20,844,607,0.0,17.8,142.2,142.2,-2.1,197.5,2.3,14.32,1.0
Italy_Messina,val,24,907,607,5.4,59.7,305.2,299.8,0.0,615.3,4.35,27.48,1.0
Italy_Milan,train,925,5988,3987,98.8,157.9,297.3,198.6,73.6,510.8,2.52,9.06,1.0
Italy_Modena,train,72,1862,1047,26.9,37.2,50.8,23.9,15.9,69.9,1.46,5.72,1.0
Italy_Naples,train,672,5140,3387,0.0,31.3,325.1,325.1,-4.0,1285.7,1.73,18.47,1.0
Italy_Padua,test,130,2036,1657,6.0,10.8,17.1,11.2,1.3,37.6,1.49,5.72,1.0
Italy_Palermo,train,32,1257,617,0.0,34.1,555.5,555.5,0.0,826.1,2.97,33.76,1.0
Italy_Parma,test,63,1462,1207,36.3,55.1,92.5,56.2,29.1,118.9,1.26,5.38,1.0
Italy_Pavia,val,30,1046,757,84.4,105.7,114.3,29.8,74.9,130.4,1.99,8.33,1.0
Italy_Perugia,val,70,1152,1627,207.6,227.4,447.0,239.4,204.4,794.2,2.31,19.95,1.0
Italy_Prato,val,56,1326,1077,36.2,49.5,363.7,327.5,30.6,753.3,2.44,23.14,1.0
Italy_Ravenna,test,28,1180,647,-0.6,1.2,6.1,6.7,-5.9,17.0,1.19,4.83,1.0
Italy_Reggio_Calabria,train,25,838,757,0.0,8.5,62.8,62.8,-7.1,86.7,1.24,5.83,1.0
Italy_Reggio_Emilia,test,54,1512,937,35.6,52.6,92.4,56.8,30.1,122.0,1.66,5.6,1.0
Italy_Rimini,test,108,1858,1457,0.0,5.7,72.2,72.2,-2.8,157.6,0.72,8.87,1.0
Italy_Salerno,test,24,989,677,36.6,60.3,330.2,293.6,28.8,406.9,1.89,19.19,1.0
Italy_Taranto,val,48,1288,947,0.0,13.9,75.4,75.4,-7.3,113.0,1.27,8.99,1.0
Italy_Trieste,train,56,1318,1057,0.0,56.4,380.4,380.4,-6.0,471.5,5.44,21.69,1.0
Italy_Turin,train,322,3644,2327,212.5,266.2,447.8,235.3,186.5,812.2,2.92,17.96,1.0
Italy_Venice,val,104,2127,1227,0.0,3.3,8.8,8.8,-6.8,30.7,1.37,5.14,1.0
Italy_Verona,test,88,1796,1297,37.5,58.2,120.5,83.0,28.5,319.1,2.02,12.57,1.0
Poland_Bialystok,train,84,1898,1157,116.8,145.0,170.7,54.0,112.1,194.1,2.11,8.3,1.0
Poland_Bielsko-Biala,val,42,998,1097,282.7,334.8,411.1,128.4,265.5,667.2,4.12,11.66,1.0
Poland_Bytom,test,18,1023,507,261.0,279.4,293.7,32.7,243.7,312.6,2.73,7.92,1.0
Poland_Czestochowa,val,63,1507,1147,244.9,258.1,281.6,36.7,232.5,311.1,1.53,4.73,1.0
Poland_Elblag,val,35,1170,877,-1.0,12.0,102.9,104.0,-4.2,144.7,2.16,9.12,1.0
Poland_Gdansk,train,126,2251,1507,-0.9,5.3,109.4,110.3,-7.8,158.6,1.79,10.38,1.0
Poland_Gdynia,train,84,1913,1147,0.0,59.5,163.2,163.2,-8.3,212.9,3.22,14.91,1.0
Poland_Gliwice,test,60,1652,927,215.7,238.6,267.1,51.3,204.5,291.6,2.12,8.11,1.0
Poland_Gorzow_Wielkopolski,val,28,1174,717,18.6,52.9,78.9,60.3,14.7,101.5,1.86,9.01,1.0
Poland_Kielce,test,70,1638,1097,252.0,283.0,346.0,93.9,233.9,420.5,2.54,9.25,1.0
Poland_Lublin,train,112,2270,1297,172.4,200.8,225.2,52.8,157.2,262.4,1.78,6.12,1.0
Poland_Opole,train,40,1366,807,149.7,159.3,176.4,26.6,138.0,194.6,1.43,6.94,1.0
Poland_Plock,train,28,1062,687,56.0,101.7,112.8,56.8,50.8,126.1,1.59,7.24,1.0
Poland_Poznan,train,91,2021,1177,59.2,81.9,94.7,35.5,43.4,110.1,1.7,6.69,1.0
Poland_Radom,train,66,1832,1007,152.9,175.0,191.5,38.6,140.6,215.7,1.29,4.74,1.0
Poland_Rybnik,test,32,1261,587,227.1,250.6,277.8,50.7,217.5,306.2,2.87,9.75,1.0
Poland_Rzeszow,test,48,1350,1017,198.0,213.0,274.3,76.3,189.5,368.7,2.58,8.5,1.0
Poland_Szczecin,val,70,1611,1097,0.0,11.2,93.4,93.4,-7.4,122.1,2.0,8.55,1.0
Poland_Warsaw,train,304,3050,2517,83.0,105.0,117.8,34.7,73.0,153.1,1.61,5.68,1.0
Poland_Wroclaw,train,98,2200,1077,114.0,120.8,128.7,14.7,103.1,154.5,1.63,6.05,1.0
Poland_Zielona_Gora,train,50,1537,757,82.3,136.6,194.8,112.5,68.3,233.4,3.57,10.8,1.0
Turkiye_Adana,test,35,1154,797,100.0,164.4,391.8,291.8,82.0,720.3,4.81,25.37,1.0
Turkiye_Ankara,train,420,4776,2197,805.9,927.5,1167.5,361.6,768.9,1304.4,5.46,17.97,1.0
Turkiye_Antalya,train,204,2772,2007,0.0,64.4,294.1,294.1,-2.7,315.6,1.77,8.62,1.0
Turkiye_Aydin,val,54,1466,917,24.5,39.9,207.7,183.2,19.7,579.2,1.55,22.54,1.0
Turkiye_Balikesir,train,63,1534,1197,96.7,148.3,400.4,303.7,93.7,510.4,3.64,18.86,1.0
Turkiye_Bursa,train,336,4467,1937,70.5,133.3,702.2,631.7,49.2,1323.9,5.47,26.48,1.0
Turkiye_Denizli,val,150,2376,1667,220.2,432.1,1157.6,937.3,185.6,2145.5,5.92,33.69,1.0
Turkiye_Diyarbakir,test,108,1886,1377,585.4,707.6,770.2,184.9,569.0,845.2,1.66,9.12,1.0
Turkiye_Erzurum,train,36,946,1027,1756.6,1873.4,2056.9,300.3,1752.4,2433.0,3.11,13.14,1.0
Turkiye_Eskisehir,val,12,673,567,863.3,872.9,890.4,27.1,861.9,908.3,1.19,3.96,1.0
Turkiye_Gaziantep,test,182,2072,2177,809.1,893.1,1024.1,215.0,745.5,1209.5,4.98,13.2,1.0
Turkiye_Hatay,test,110,1649,1767,80.8,153.2,514.2,433.4,46.5,1228.5,6.58,26.75,1.0
Turkiye_Istanbul,train,378,4331,2317,0.0,59.6,158.2,158.2,-15.6,267.8,5.25,18.43,1.0
Turkiye_Kayseri,val,36,1030,1017,1054.8,1110.3,1317.7,262.8,1046.7,1740.6,3.16,18.07,1.0
Turkiye_Kocaeli,val,112,2320,1367,0.0,38.0,231.9,231.9,-3.7,435.0,3.01,17.8,1.0
Turkiye_Konya,train,315,2356,3337,1001.3,1032.3,1468.3,467.0,995.6,1960.3,1.76,17.62,1.0
Turkiye_Malatya,test,112,2248,1337,855.6,951.5,1603.9,748.3,784.2,2039.5,5.28,24.34,1.0
Turkiye_Manisa,train,20,750,607,92.7,136.7,262.3,169.7,88.1,380.0,2.78,16.75,1.0
Turkiye_Mardin,train,48,1283,1027,472.9,496.4,551.8,78.9,464.1,585.5,0.89,3.47,1.0
Turkiye_Mersin,train,238,2804,2262,1236.9,1454.2,1743.6,506.7,959.1,1898.9,8.12,22.92,1.0
Turkiye_Mugla,train,25,862,797,0.0,114.2,417.1,417.1,-0.3,624.2,13.6,32.64,1.0
Turkiye_Ordu,val,24,921,667,0.0,12.1,193.0,193.0,0.0,307.3,3.79,25.06,1.0
Turkiye_Sakarya,train,121,1700,1817,23.1,34.0,167.4,144.3,18.6,360.1,1.59,16.5,1.0
Turkiye_Sanliurfa,test,96,1263,1907,449.8,581.0,750.5,300.7,427.3,858.4,4.0,18.95,1.0
Turkiye_Tekirdag,val,42,921,1067,0.0,34.2,152.5,152.5,-0.3,206.7,2.81,10.35,1.0
Turkiye_Trabzon,train,65,2091,817,0.0,174.6,481.2,481.2,-2.5,771.3,10.46,30.89,1.0
