split,country,city,patches,complete_blocks,all_valid,usable_train,s1_product_id,s2_product_id,pair_gap_days,s2_reselected_round,provenance_status
test,Italy,Genoa,117,96,96,92,S1A_IW_GRDH_1SDV_20230213T053605_20230213T053630_047213_05AA42_EEEE,20230215T102121_20230215T102824_T32TMQ,2.2031,false,table_matched
test,Italy,Padua,130,108,108,108,S1A_IW_GRDH_1SDV_20230215T051918_20230215T051943_047242_05AB3E_A7C7,20230212T101131_20230212T101131_T32TQR,2.7925,false,table_matched
test,Italy,Parma,63,48,48,48,S1A_IW_GRDH_1SDV_20230220T052752_20230220T052817_047315_05ADC6_7CA8,20230215T102121_20230215T102115_T32TNQ,4.7913,false,table_matched
test,Italy,Ravenna,28,18,18,18,S1A_IW_GRDH_1SDV_20230110T051944_20230110T052009_046717_0599A6_E28E,20230207T101109_20230207T101742_T32TQQ,28.2074,false,gee_recovered
test,Italy,Reggio Emilia,54,40,40,40,S1A_IW_GRDH_1SDV_20230328T052752_20230328T052817_047840_05BF83_4E09,20230215T102121_20230215T102115_T32TPQ,40.7913,false,gee_recovered
test,Italy,Rimini,108,88,48,48,S1A_IW_GRDH_1SDV_20230215T051943_20230215T052008_047242_05AB3E_CB06,20230214T100029_20230214T100452_T32TQP,0.7993,false,table_matched
test,Italy,Salerno,24,15,15,15,S1A_IW_GRDH_1SDV_20230325T050414_20230325T050439_047796_05BE09_6C96,20230313T095039_20230313T095034_T33TVE;20230313T095039_20230313T095034_T33TVF;20230313T095039_20230313T095034_T33TWE;20230313T095039_20230313T095034_T33TWF,11.795,true,gee_recovered
test,Italy,Verona,88,70,70,70,S1A_IW_GRDH_1SDV_20230215T051918_20230215T051943_047242_05AB3E_A7C7,20230215T102121_20230215T102115_T32TPR,0.2145,false,table_matched
test,Poland,Bytom,18,10,0,0,S1A_IW_GRDH_1SDV_20221231T050121_20221231T050146_046571_0594BA_E58C,20230206T095201_20230206T095356_T33UYR;20230206T095201_20230206T095356_T34UCA,37.2051,true,gee_recovered
test,Poland,Gliwice,60,45,45,45,S1A_IW_GRDH_1SDV_20230107T045334_20230107T045359_046673_059818_4624,20230107T095401_20230107T095402_T33UYR,0.2105,false,table_matched
test,Poland,Kielce,70,54,54,54,S1A_IW_GRDH_1SDV_20230303T044500_20230303T044525_047475_05B322_8339,20230323T095029_20230323T095031_T34UDB,20.2163,true,gee_recovered
test,Poland,Rybnik,32,21,20,20,S1A_IW_GRDH_1SDV_20230107T045334_20230107T045359_046673_059818_4624,20230107T095401_20230107T095402_T33UYR,0.2105,true,table_matched
test,Poland,Rzeszow,48,35,35,35,S1A_IW_GRDH_1SDV_20230303T044500_20230303T044525_047475_05B322_8339,20230317T093039_20230317T093038_T34UEA,14.2026,false,gee_recovered
test,Turkiye,Adana,35,24,23,23,S1A_IW_GRDH_1SDV_20230215T034247_20230215T034312_047241_05AB34_CB4B,20230217T082919_20230217T083630_T37SBB,2.2061,false,table_matched
test,Turkiye,Diyarbakir,108,88,72,72,S1A_IW_GRDH_1SDV_20230224T031802_20230224T031827_047372_05AFA5_A511,20230226T080911_20230226T081234_T37SEC,2.2092,false,table_matched
test,Turkiye,Gaziantep,182,156,23,23,S1A_IW_GRDH_1SDV_20230105T033454_20230105T033519_046643_05972C_89C0,20230105T082239_20230105T082246_T37SCA,0.2048,false,table_matched
test,Turkiye,Hatay,110,90,89,89,S1A_IW_GRDH_1SDV_20230210T033452_20230210T033517_047168_05A8CD_4E0E,20230209T082111_20230209T082246_T37SBA,0.7951,false,table_matched
test,Turkiye,Malatya,112,91,64,64,S1A_IW_GRDH_1SDV_20230210T033427_20230210T033452_047168_05A8CD_5809,20230110T082321_20230110T082758_T37SDC,30.7952,false,gee_recovered
test,Turkiye,Sanliurfa,96,77,75,75,S1A_IW_GRDH_1SDV_20221219T032620_20221219T032645_046395_058ECD_8732,20221218T081341_20221218T081339_T37SDB,0.7963,false,table_matched
train,Italy,Bari,105,84,84,82,S1A_IW_GRDH_1SDV_20230313T050414_20230313T050439_047621_05B824_F921,20230313T095039_20230313T095034_T33TXF,0.2049,false,table_matched
