patch_id,split,country,city,row,col,x0,y0,patch_size,stride,coarse_label,coarse_label_name,sar_path,optical_path,dem_path,slope_path,source_s1_mosaic,source_s2_mosaic
Italy_Bari_r000_c000_x0_y0_s160,train,Italy,Bari,0,0,0,0,256,160,3,sparse_built_up,train/SAR_tif/Italy_Bari_r000_c000_x0_y0_s160_SAR.tif,train/Optical_tif/Italy_Bari_r000_c000_x0_y0_s160_OPT.tif,dem_tif/train/Italy_Bari_r000_c000_x0_y0_s160_DEM.tif,dem_tif/train/Italy_Bari_r000_c000_x0_y0_s160_SLOPE.tif,Italy_Bari_S1_2023-03-13_2023-03-13_05_04_14_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Bari_S2_2023-03-13_2023-03-13_09_59_18_RGB_BuiltUpMain.tif
Italy_Bari_r000_c001_x160_y0_s160,train,Italy,Bari,0,1,160,0,256,160,3,sparse_built_up,train/SAR_tif/Italy_Bari_r000_c001_x160_y0_s160_SAR.tif,train/Optical_tif/Italy_Bari_r000_c001_x160_y0_s160_OPT.tif,dem_tif/train/Italy_Bari_r000_c001_x160_y0_s160_DEM.tif,dem_tif/train/Italy_Bari_r000_c001_x160_y0_s160_SLOPE.tif,Italy_Bari_S1_2023-03-13_2023-03-13_05_04_14_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Bari_S2_2023-03-13_2023-03-13_09_59_18_RGB_BuiltUpMain.tif
Italy_Bari_r000_c002_x320_y0_s160,train,Italy,Bari,0,2,320,0,256,160,3,sparse_built_up,train/SAR_tif/Italy_Bari_r000_c002_x320_y0_s160_SAR.tif,train/Optical_tif/Italy_Bari_r000_c002_x320_y0_s160_OPT.tif,dem_tif/train/Italy_Bari_r000_c002_x320_y0_s160_DEM.tif,dem_tif/train/Italy_Bari_r000_c002_x320_y0_s160_SLOPE.tif,Italy_Bari_S1_2023-03-13_2023-03-13_05_04_14_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Bari_S2_2023-03-13_2023-03-13_09_59_18_RGB_BuiltUpMain.tif
Italy_Bari_r000_c003_x480_y0_s160,train,Italy,Bari,0,3,480,0,256,160,3,sparse_built_up,train/SAR_tif/Italy_Bari_r000_c003_x480_y0_s160_SAR.tif,train/Optical_tif/Italy_Bari_r000_c003_x480_y0_s160_OPT.tif,dem_tif/train/Italy_Bari_r000_c003_x480_y0_s160_DEM.tif,dem_tif/train/Italy_Bari_r000_c003_x480_y0_s160_SLOPE.tif,Italy_Bari_S1_2023-03-13_2023-03-13_05_04_14_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Bari_S2_2023-03-13_2023-03-13_09_59_18_RGB_BuiltUpMain.tif
Italy_Bari_r000_c004_x640_y0_s160,train,Italy,Bari,0,4,640,0,256,160,3,sparse_built_up,train/SAR_tif/Italy_Bari_r000_c004_x640_y0_s160_SAR.tif,train/Optical_tif/Italy_Bari_r000_c004_x640_y0_s160_OPT.tif,dem_tif/train/Italy_Bari_r000_c004_x640_y0_s160_DEM.tif,dem_tif/train/Italy_Bari_r000_c004_x640_y0_s160_SLOPE.tif,Italy_Bari_S1_2023-03-13_2023-03-13_05_04_14_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Bari_S2_2023-03-13_2023-03-13_09_59_18_RGB_BuiltUpMain.tif
Italy_Bari_r000_c005_x800_y0_s160,train,Italy,Bari,0,5,800,0,256,160,3,sparse_built_up,train/SAR_tif/Italy_Bari_r000_c005_x800_y0_s160_SAR.tif,train/Optical_tif/Italy_Bari_r000_c005_x800_y0_s160_OPT.tif,dem_tif/train/Italy_Bari_r000_c005_x800_y0_s160_DEM.tif,dem_tif/train/Italy_Bari_r000_c005_x800_y0_s160_SLOPE.tif,Italy_Bari_S1_2023-03-13_2023-03-13_05_04_14_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Bari_S2_2023-03-13_2023-03-13_09_59_18_RGB_BuiltUpMain.tif
Italy_Bari_r000_c006_x960_y0_s160,train,Italy,Bari,0,6,960,0,256,160,3,sparse_built_up,train/SAR_tif/Italy_Bari_r000_c006_x960_y0_s160_SAR.tif,train/Optical_tif/Italy_Bari_r000_c006_x960_y0_s160_OPT.tif,dem_tif/train/Italy_Bari_r000_c006_x960_y0_s160_DEM.tif,dem_tif/train/Italy_Bari_r000_c006_x960_y0_s160_SLOPE.tif,Italy_Bari_S1_2023-03-13_2023-03-13_05_04_14_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Bari_S2_2023-03-13_2023-03-13_09_59_18_RGB_BuiltUpMain.tif
Italy_Bari_r000_c007_x1120_y0_s160,train,Italy,Bari,0,7,1120,0,256,160,3,sparse_built_up,train/SAR_tif/Italy_Bari_r000_c007_x1120_y0_s160_SAR.tif,train/Optical_tif/Italy_Bari_r000_c007_x1120_y0_s160_OPT.tif,dem_tif/train/Italy_Bari_r000_c007_x1120_y0_s160_DEM.tif,dem_tif/train/Italy_Bari_r000_c007_x1120_y0_s160_SLOPE.tif,Italy_Bari_S1_2023-03-13_2023-03-13_05_04_14_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Bari_S2_2023-03-13_2023-03-13_09_59_18_RGB_BuiltUpMain.tif
Italy_Bari_r000_c008_x1280_y0_s160,train,Italy,Bari,0,8,1280,0,256,160,3,sparse_built_up,train/SAR_tif/Italy_Bari_r000_c008_x1280_y0_s160_SAR.tif,train/Optical_tif/Italy_Bari_r000_c008_x1280_y0_s160_OPT.tif,dem_tif/train/Italy_Bari_r000_c008_x1280_y0_s160_DEM.tif,dem_tif/train/Italy_Bari_r000_c008_x1280_y0_s160_SLOPE.tif,Italy_Bari_S1_2023-03-13_2023-03-13_05_04_14_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Bari_S2_2023-03-13_2023-03-13_09_59_18_RGB_BuiltUpMain.tif
Italy_Bari_r000_c009_x1440_y0_s160,train,Italy,Bari,0,9,1440,0,256,160,3,sparse_built_up,train/SAR_tif/Italy_Bari_r000_c009_x1440_y0_s160_SAR.tif,train/Optical_tif/Italy_Bari_r000_c009_x1440_y0_s160_OPT.tif,dem_tif/train/Italy_Bari_r000_c009_x1440_y0_s160_DEM.tif,dem_tif/train/Italy_Bari_r000_c009_x1440_y0_s160_SLOPE.tif,Italy_Bari_S1_2023-03-13_2023-03-13_05_04_14_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Bari_S2_2023-03-13_2023-03-13_09_59_18_RGB_BuiltUpMain.tif
