country,city,s1_scene_file,s2_scene_file,s1_datetime_utc,s2_datetime_utc,pair_gap_days,orbit,polarizations,s1_product_id,s2_product_id
Italy,Bari,Italy_Bari_S1_2023-03-13_2023-03-13_05_04_14_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Bari_S2_2023-03-13_2023-03-13_09_59_18_RGB_BuiltUpMain.tif,2023-03-13 05:04:14,2023-03-13 09:59:18,0.2049,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230313T050414_20230313T050439_047621_05B824_F921,20230313T095039_20230313T095034_T33TXF
Italy,Bologna,Italy_Bologna_S1_2023-02-03_2023-02-03_05_19_44_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Bologna_S2_2023-02-02_2023-02-02_10_18_27_RGB_BuiltUpMain.tif,2023-02-03 05:19:44,2023-02-02 10:18:27,0.7926,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230203T051944_20230203T052009_047067_05A563_0D3E,20230202T101231_20230202T101232_T32TPQ
Italy,Brescia,Italy_Brescia_S1_2023-02-20_2023-02-20_05_27_27_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Brescia_S2_2023-02-12_2023-02-12_10_18_14_RGB_BuiltUpMain.tif,2023-02-20 05:27:27,2023-02-12 10:18:14,7.7981,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230220T052727_20230220T052752_047315_05ADC6_9AD9,20230212T101131_20230212T101131_T32TNR;20230212T101131_20230212T101131_T32TPR
Italy,Cagliari,Italy_Cagliari_S1_2023-03-28_2023-03-28_05_29_07_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Cagliari_S2_2023-03-29_2023-03-29_10_20_02_RGB_BuiltUpMain.tif,2023-03-28 05:29:07,2023-03-29 10:20:02,1.202,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230328T052907_20230328T052932_047840_05BF83_CA53,20230329T100629_20230329T101232_T32SNJ
Italy,Catania,Italy_Catania_S1_2023-02-17_2023-02-17_05_05_04_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Catania_S2_2023-02-21_2023-02-21_10_00_15_RGB_BuiltUpMain.tif,2023-02-17 05:05:04,2023-02-21 10:00:15,4.205,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230217T050504_20230217T050529_047271_05AC47_7624,20230221T095029_20230221T095655_T33SWB
Italy,Florence,Italy_Florence_S1_2023-02-15_2023-02-15_05_19_43_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Florence_S2_2023-02-12_2023-02-12_10_18_40_RGB_BuiltUpMain.tif,2023-02-15 05:19:43,2023-02-12 10:18:40,2.7924,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230215T051943_20230215T052008_047242_05AB3E_CB06,20230212T101131_20230212T101131_T32TPP
Italy,Foggia,Italy_Foggia_S1_2023-03-13_2023-03-13_05_03_49_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Foggia_S2_2023-03-18_2023-03-18_09_59_16_RGB_BuiltUpMain.tif,2023-03-13 05:03:49,2023-03-18 09:59:16,5.2052,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230313T050349_20230313T050414_047621_05B824_533B,20230318T095031_20230318T095031_T33TWF
Italy,Genoa,Italy_Genoa_S1_2023-02-13_2023-02-13_05_36_05_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Genoa_S2_2023-02-15_2023-02-15_10_28_33_RGB_BuiltUpMain.tif,2023-02-13 05:36:05,2023-02-15 10:28:33,2.2031,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230213T053605_20230213T053630_047213_05AA42_EEEE,20230215T102121_20230215T102824_T32TMQ
Italy,Livorno,Italy_Livorno_S1_2023-02-15_2023-02-15_05_20_08_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Livorno_S2_2023-02-12_2023-02-12_10_18_40_RGB_BuiltUpMain.tif,2023-02-15 05:20:08,2023-02-12 10:18:40,2.7927,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230215T052008_20230215T052033_047242_05AB3E_160B,20230212T101131_20230212T101131_T32TPP
Italy,Messina,Italy_Messina_S1_2023-02-17_2023-02-17_05_05_04_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Messina_S2_2023-03-18_2023-03-18_09_59_59_RGB_BuiltUpMain.tif,2023-02-17 05:05:04,2023-03-18 09:59:59,29.2048,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230217T050504_20230217T050529_047271_05AC47_7624,20230318T095031_20230318T095031_T33SWC
Italy,Milan,Italy_Milan_S1_2023-02-13_2023-02-13_05_35_40_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Milan_S2_2023-02-15_2023-02-15_10_28_11_RGB_BuiltUpMain.tif,2023-02-13 05:35:40,2023-02-15 10:28:11,2.2031,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230213T053540_20230213T053605_047213_05AA42_D337,20230215T102121_20230215T102115_T32TNR
Italy,Modena,Italy_Modena_S1_2023-02-15_2023-02-15_05_19_43_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Modena_S2_2023-02-12_2023-02-12_10_18_26_RGB_BuiltUpMain.tif,2023-02-15 05:19:43,2023-02-12 10:18:26,2.7926,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230215T051943_20230215T052008_047242_05AB3E_CB06,20230212T101131_20230212T101131_T32TPQ
Italy,Naples,Italy_Naples_S1_2023-03-18_2023-03-18_05_12_21_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Naples_S2_2023-03-18_2023-03-18_09_59_20_RGB_BuiltUpMain.tif,2023-03-18 05:12:21,2023-03-18 09:59:20,0.1993,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230318T051221_20230318T051246_047694_05BAA7_A0A4,20230318T095031_20230318T095031_T33TVF
Italy,Padua,Italy_Padua_S1_2023-02-15_2023-02-15_05_19_18_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Padua_S2_2023-02-12_2023-02-12_10_18_08_RGB_BuiltUpMain.tif,2023-02-15 05:19:18,2023-02-12 10:18:08,2.7925,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230215T051918_20230215T051943_047242_05AB3E_A7C7,20230212T101131_20230212T101131_T32TQR
Italy,Palermo,Italy_Palermo_S1_2023-03-18_2023-03-18_05_13_11_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Palermo_S2_2023-03-18_2023-03-18_10_00_07_RGB_BuiltUpMain.tif,2023-03-18 05:13:11,2023-03-18 10:00:07,0.1993,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230318T051311_20230318T051336_047694_05BAA7_8E45,20230318T095031_20230318T095031_T33SUC
Italy,Parma,Italy_Parma_S1_2023-02-20_2023-02-20_05_27_52_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Parma_S2_2023-02-15_2023-02-15_10_28_24_RGB_BuiltUpMain.tif,2023-02-20 05:27:52,2023-02-15 10:28:24,4.7913,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230220T052752_20230220T052817_047315_05ADC6_7CA8,20230215T102121_20230215T102115_T32TNQ
Italy,Pavia,Italy_Pavia_S1_2023-02-13_2023-02-13_05_35_40_DESCENDING_VVplusVH_BuiltUpMain.tif,Italy_Pavia_S2_2023-02-15_2023-02-15_10_28_14_RGB_BuiltUpMain.tif,2023-02-13 05:35:40,2023-02-15 10:28:14,2.2032,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230213T053540_20230213T053605_047213_05AA42_D337,20230215T102121_20230215T102115_T32TMR
